DATE;TIME PERIOD;OBS.VALUE;OBS.STATUS;OBS.COMMENT;SERIES KEY;TITLE;FREQUENCY;FREQUENCY (DESC.);REFERENCE AREA;REFERENCE AREA (DESC.);CURRENCY;CURRENCY (DESC.);FINANCIAL MARKET PROVIDER;FINANCIAL MARKET PROVIDER (DESC.);FINANCIAL MARKET INSTRUMENT;FINANCIAL MARKET INSTRUMENT (DESC.);FINANCIAL MARKET PROVIDER IDENTIFIER;FINANCIAL MARKET PROVIDER IDENTIFIER (DESC.);FINANCIAL MARKET DATA TYPE;FINANCIAL MARKET DATA TYPE (DESC.)
1980-01-03;03 Jan 1980;0,1356;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-04;04 Jan 1980;0,135;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-05;05 Jan 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-06;06 Jan 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-07;07 Jan 1980;0,1378;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-08;08 Jan 1980;0,1345;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-09;09 Jan 1980;0,1258;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-10;10 Jan 1980;0,1213;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-11;11 Jan 1980;0,109;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-12;12 Jan 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-13;13 Jan 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-14;14 Jan 1980;0,0993;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-15;15 Jan 1980;0,1027;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-16;16 Jan 1980;0,102;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-17;17 Jan 1980;0,1276;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
