ID,DATE,AUTHOR,TITLE,LINK
0,2025-03-28,—,Decisions taken by the Governing Council of the ECB (in addition to decisions setting interest rates),https://www.ecb.europa.eu/press/govcdec/otherdec/2025/html/ecb.gc250328~754c442fb3.en.html
1,2025-03-28,"Antonin Bergeaud, Guzmán González-Torres Fernández, Vincent Labhard, Richard Sellner",AI can boost productivity – if firms use it,https://www.ecb.europa.eu/press/blog/date/2025/html/ecb.blog20250328~60c0a587f7.en.html
2,2025-03-28,—,ECB Consumer Expectations Survey results – February 2025,https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250328~be14b7e0b5.en.html
3,2025-03-27,Isabel Schnabel,Financial literacy and monetary policy transmission,https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250327~4f9c298d91.en.html
4,2025-03-27,—,Monetary developments in the euro area: February 2025,https://www.ecb.europa.eu/press/stats/md/html/ecb.md2502~202f6500e4.en.html
5,2025-03-26,"Alina Bobasu, Amalia Repele",Effects of monetary policy on labour income: the role of the employer,https://www.ecb.europa.eu/press/research-publications/resbull/2025/html/ecb.rb250326~d412e364ce.en.html
6,2025-03-25,—,Consolidated financial statement of the Eurosystem as at 21 March 2025,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2025/html/ecb.fst250325.en.html
7,2025-03-25,Miles Parker,AI versus green: clash of the transitions?,https://www.ecb.europa.eu/press/blog/date/2025/html/ecb.blog20250325~ed12b0ff35.en.html
8,2025-03-24,Piero Cipollone,Interview with Expansión,https://www.ecb.europa.eu/press/inter/date/2025/html/ecb.in250324~ff1c69da91.en.html
9,2025-03-21,"António Dias Da Silva, Marco Weißler",AI adoption and employment prospects,https://www.ecb.europa.eu/press/blog/date/2025/html/ecb.blog20250321~6af1337b6b.en.html
10,2025-03-21,—,Euro area monthly balance of payments: January 2025,https://www.ecb.europa.eu/press/stats/bop/2025/html/ecb.bp250131~ceccdc744d.en.html
11,2025-03-20,Philip R. Lane,The digital euro: maintaining the autonomy of the monetary system,https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250320_1~41c9459722.en.html
12,2025-03-20,—,"Economic Bulletin Issue 2, 2025",https://www.ecb.europa.eu/press/economic-bulletin/html/eb202502.en.html
13,2025-03-20,"Samuel Bieber, Vladimir Tsonchev",Liquidity conditions and monetary policy operations from 23 October 2024 to 4 February 2025,https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202502_08~9cf9f6ac21.en.html
14,2025-03-20,"Maria Dimou, Annalisa Ferrando, Petra Köhler-Ulbrich, Judit Rariga",Insights from banks and firms on euro area credit conditions: a comparison based on ECB surveys,https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202502_07~8065a79e44.en.html
15,2025-03-20,"Catalina Martínez Hernández, Mario Porqueddu, Blanca Prat I Bayarri, Lourdes Maria Zulli Gandur",Understanding the relative development of goods and services inflation,https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202502_06~8e3adcc07b.en.html
16,2025-03-20,"Claudia Foroni, Christofer Schroeder",Using corporate earnings calls to forecast euro area labour demand,https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202502_04~3283f1bc62.en.html
17,2025-03-20,"Vlad Burian, Arthur Stalla-Bourdillon",The increasing energy demand of artificial intelligence and its impact on commodity prices,https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202502_03~8eba688e29.en.html
18,2025-03-20,Christine Lagarde,Hearing of the Committee on Economic and Monetary Affairs of the European Parliament,https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250320~6c2889bbd3.en.html
19,2025-03-19,Frank Elderson,"Resilience offers a competitive advantage, especially in uncertain times",https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250319~95a68ad8a3.en.html
20,2025-03-18,—,Consolidated financial statement of the Eurosystem as at 14 March 2025,https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2025/html/ecb.fst250318.en.html
21,2025-03-18,"Mattia Banin, Virginia Di Nino, Laura Lebastard, Noémie Lecourt, Stefan Schaefer",Have euro area exports missed the tech train?,https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202502_02~800e3b8b0f.en.html
22,2025-03-18,"Malin Andersson, Valerie Jarvis, Michel Soudan",Business investment: why is the euro area lagging behind the United States?,https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202502_01~a3130f4f9f.en.html
23,2025-03-18,"Claudia Buch, Isabel Schnabel",Managing liquidity in a changing environment,https://www.ecb.europa.eu/press/blog/date/2025/html/ecb.blog20250318~2d60b2d174.en.html
24,2025-03-17,"Colm Bates, Christian Höynck, Omiros Kouvavas, Desislava Rusinova, Larissa Zimmermann",Euro area rent developments: insights from the CES,https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202502_05~0cfb693644.en.html
25,2025-03-17,"Christian Höynck, Moreno Roma, Kathinka Schlieker",Developments in the recent euro area house price cycle,https://www.ecb.europa.eu/press/economic-bulletin/articles/2025/html/ecb.ebart202502_01~2f59dafb26.en.html
26,2025-03-16,Luis de Guindos,Interview with The Sunday Times Ireland,https://www.ecb.europa.eu/press/inter/date/2025/html/ecb.in250316~3574a72966.en.html
27,2025-03-13,—,ECB launches pilot project for research access to confidential statistical data,https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250313~9d160bc6e2.en.html
28,2025-03-12,—,New data release: ECB wage tracker continues to indicate that negotiated wage pressures will ease,https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250312~2a67e8f000.en.html
29,2025-03-12,Christine Lagarde,A robust strategy for a new era,https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250312~915537d675.en.html
